id,name,message_follower_ids,priority
61,User_25,"[1533, 1124]",Low
62,User_21,[1119],High
63,User_55,"[1017, 1580, 1174]",High
64,User_9,"[1944, 1373, 1232]",Low
65,User_95,[1926],Low
66,User_11,,High
67,User_86,[1540],Medium
68,User_86,[1229],Low
69,User_69,"[1491, 1695, 1907]",High
70,User_96,"[1359, 1403]",Low
71,User_54,"[1712, 1476, 1711]",Medium
72,User_37,"[1483, 1125, 1092]",Low
73,User_87,,Low
74,User_27,"[1519, 1662, 1889, 1776]",Low
75,User_87,"[1194, 1908, 1301, 1727]",High
76,User_65,"[1545, 1941, 1531, 1512, 1023]",High
77,User_1,[1697],Medium
78,User_94,"[1907, 1782, 1784, 1552, 1617]",High
79,User_69,"[1992, 1299]",Medium
80,User_34,"[1870, 1449, 1190, 1523]",Low
81,User_99,"[1475, 1376, 1405, 1848, 1820]",Medium
82,User_91,"[1138, 1720, 1410]",Low
83,User_90,"[1837, 1136]",High
84,User_50,"[1098, 1411]",Low
85,User_16,[1743],Low
86,User_54,"[1532, 1162, 1449]",High
87,User_3,"[1805, 1597, 1199]",Low
88,User_68,,Low
89,User_78,"[1058, 1954, 1482]",High
90,User_74,"[1937, 1478]",High
91,User_71,[1237],Medium
92,User_86,,Medium
93,User_6,"[1247, 1473, 1147, 1805, 1924]",High
94,User_69,"[1236, 1287, 1901]",High
95,User_65,"[1503, 1549, 1012]",Low
96,User_87,[1077],High
97,User_99,"[1015, 1188, 1552]",Low
98,User_38,"[1286, 1505, 1182]",High
99,User_36,"[1524, 1221]",Medium
100,User_70,"[1560, 1115, 1629, 1046]",Medium
101,User_25,"[1618, 1283, 1928]",Low
102,User_62,"[1266, 1310]",Low
103,User_72,,Low
104,User_88,[1735],Low
105,User_33,[1671],High
106,User_11,"[1266, 1597, 1717, 1683, 1586]",High
107,User_54,[1040],Medium
108,User_79,[1777],High
109,User_75,"[1802, 1156, 1300, 1864, 1329]",High
110,User_56,"[1140, 1724]",Medium
111,User_91,,High
112,User_44,"[1299, 1004, 1866]",Medium
113,User_71,"[1935, 1011, 1248, 1110, 1156]",Low
114,User_84,"[1914, 1607]",Medium
115,User_19,,Low
116,User_77,"[1361, 1805, 1269, 1514, 1232]",Low
117,User_94,,Medium
118,User_17,[1894],Low
119,User_60,"[1496, 1489]",High
120,User_27,"[1989, 1413, 1302, 1960, 1270]",High
121,User_83,,High
122,User_65,"[1054, 1592]",High
123,User_96,[1359],Medium
124,User_25,"[1713, 1241, 1679, 1417, 1332]",Medium
125,User_19,,High
126,User_17,[1322],Low
127,User_16,"[1026, 1748, 1849, 1349, 1389]",High
128,User_63,"[1215, 1188, 1782]",High
129,User_95,"[1023, 1368, 1450, 1377]",Medium
130,User_86,"[1151, 1485, 1795]",High
131,User_59,[1780],Medium
132,User_17,[1684],High
133,User_90,"[1146, 1450, 1732]",Low
134,User_85,"[1097, 1539]",High
135,User_9,[1222],Low
136,User_98,"[1448, 1770, 1132]",Low
137,User_68,,High
138,User_4,"[1379, 1368]",Low
139,User_19,"[1305, 1584, 1322]",High
140,User_2,[1858],Low
141,User_57,,Medium
142,User_66,"[1597, 1262, 1130]",High
143,User_1,"[1314, 1525, 1904, 1095]",Medium
144,User_16,"[1826, 1757, 1163]",High
145,User_46,"[1029, 1301, 1600, 1720]",High
146,User_89,"[1633, 1334, 1661, 1080, 1800]",Medium
147,User_2,,Low
148,User_56,"[1449, 1174]",Low
149,User_78,,High
150,User_3,[1724],High
151,User_38,"[1079, 1018, 1713]",Low
152,User_2,"[1073, 1905]",High
153,User_44,"[1331, 1573, 1990]",Medium
154,User_98,[1847],High
155,User_81,"[1516, 1740]",Medium
156,User_92,"[1117, 1705]",High
157,User_41,"[1310, 1781, 1766, 1576]",High
158,User_62,,High
159,User_96,[1169],Low
160,User_63,[1215],Low
161,User_27,,Low
162,User_46,"[1055, 1199, 1244, 1270, 1615]",High
163,User_31,"[1527, 1290]",Medium
164,User_84,"[1710, 1750, 1756, 1394]",Medium
165,User_29,"[1921, 1594]",Low
166,User_99,[1536],High
167,User_39,"[1646, 1586, 1428, 1597, 1338]",Medium
168,User_50,,Low
169,User_52,"[1188, 1247]",Low
170,User_37,"[1152, 1155, 1844, 1154, 1316]",Low
171,User_75,"[1526, 1886, 1493]",Medium
172,User_99,"[1525, 1475, 1395, 1529]",Medium
173,User_5,"[1211, 1652, 1579, 1196]",Medium
174,User_9,"[1422, 1524]",High
175,User_57,"[1091, 1407]",High
176,User_20,"[1529, 1623]",Medium
177,User_19,"[1356, 1259]",High
178,User_32,"[1605, 1115, 1480, 1270]",Low
179,User_80,"[1214, 1313, 1324, 1714]",Medium
180,User_87,"[1432, 1510, 1566, 1975, 1849]",High
181,User_28,"[1017, 1546, 1539]",High
182,User_12,"[1181, 1512, 1529, 1872, 1799]",Low
183,User_53,[1024],High
184,User_93,"[1181, 1854]",Low
185,User_57,"[1208, 1325, 1458, 1833]",Medium
186,User_99,,High
187,User_73,[1528],High
188,User_41,[1599],Low
189,User_33,"[1442, 1116, 1657, 1889, 1416]",Medium
190,User_57,"[1650, 1689, 1046, 1608, 1653]",High
191,User_78,"[1535, 1743, 1268, 1688, 1040]",High
192,User_98,"[1173, 1784, 1143, 1533]",High
193,User_11,"[1052, 1526]",High
194,User_77,"[1473, 1722, 1487, 1872]",Medium
195,User_45,[1186],High
196,User_91,"[1498, 1110, 1637, 1090, 1504]",High
197,User_60,"[1521, 1819, 1111]",High
198,User_14,[1993],Low
199,User_90,,High
200,User_41,"[1169, 1337]",Low
201,User_26,,Medium
202,User_48,"[1931, 1316, 1763]",Low
203,User_50,"[1798, 1873, 1238]",Medium
204,User_5,[1904],High
205,User_57,[1601],High
206,User_26,,Low
207,User_92,"[1781, 1261, 1096]",Low
208,User_16,"[1427, 1080, 1772]",Low
209,User_67,"[1971, 1107, 1636]",Low
210,User_31,,Medium
211,User_72,"[1621, 1930]",Low
212,User_10,"[1524, 1734, 1756, 1605, 1338]",Low
213,User_15,"[1614, 1180, 1883, 1330]",High
214,User_36,"[1418, 1659]",Medium
215,User_84,"[1707, 1958]",Low
216,User_69,"[1590, 1924, 1585, 1042, 1205]",Low
217,User_51,"[1646, 1136, 1748]",Low
218,User_88,"[1641, 1236, 1262, 1049]",Low
219,User_15,"[1358, 1310, 1769, 1274]",Medium
220,User_55,,Medium
221,User_2,"[1266, 1037, 1671, 1485]",High
222,User_23,"[1675, 1854]",Medium
223,User_74,"[1570, 1947, 1401, 1471, 1462]",High
224,User_59,,Low
225,User_28,"[1831, 1558, 1929, 1887, 1827]",Low
226,User_60,,High
227,User_57,"[1649, 1259, 1051, 1280, 1818]",High
228,User_62,,Medium
229,User_1,"[1609, 1153, 1304]",Low
230,User_11,"[1033, 1362, 1238]",Medium
231,User_30,"[1121, 1736, 1984, 1729, 1473]",High
232,User_60,"[1474, 1479]",Medium
233,User_33,[1953],Low
234,User_28,[1669],High
235,User_100,,Low
236,User_60,[1533],Medium
237,User_3,"[1461, 1328, 1624]",Medium
238,User_87,"[1910, 1829]",Medium
239,User_96,[1058],Low
240,User_77,"[1330, 1248, 1275, 1682]",Low
241,User_25,"[1093, 1682, 1627, 1321, 1126]",Medium
242,User_28,[1778],High
243,User_31,[1912],Low
244,User_69,"[1076, 1316]",High
245,User_56,"[1205, 1387, 1706, 1990]",Low
246,User_79,"[1706, 1675, 1349]",Medium
247,User_14,"[1785, 1876, 1966]",Low
248,User_25,"[1671, 1539, 1292]",Low
249,User_56,"[1054, 1637, 1596, 1158]",Medium
250,User_60,"[1620, 1884]",Medium
251,User_45,,Low
252,User_6,"[1455, 1103]",Medium
253,User_52,"[1838, 1725, 1810]",Medium
254,User_17,[1105],Medium
255,User_26,[1048],High
256,User_7,"[1228, 1971]",High
257,User_99,,Medium
258,User_66,"[1000, 1091, 1259, 1272]",High
259,User_93,"[1327, 1787, 1106, 1967]",Low
260,User_46,"[1001, 1070, 1794]",Low
261,User_96,"[1580, 1804, 1435, 1993]",Medium
262,User_9,"[1207, 1908]",Low
263,User_33,"[1404, 1038]",Medium
264,User_35,,Medium
265,User_94,,Medium
266,User_49,"[1975, 1702]",High
267,User_47,,High
268,User_53,"[1069, 1688, 1640, 1321]",Medium
269,User_90,[1915],High
270,User_76,"[1105, 1008, 1909, 1260]",Low
271,User_62,"[1767, 1480, 1138, 1297]",Low
272,User_30,"[1310, 1946, 1891, 1552, 1018]",High
273,User_68,"[1983, 1186, 1768, 1473, 1003]",High
274,User_34,"[1089, 1679, 1286, 1084, 1697]",High
275,User_35,[1654],Medium
276,User_16,"[1964, 1005, 1573, 1547, 1149]",High
277,User_5,"[1528, 1797, 1372, 1073, 1087]",Low
278,User_65,"[1516, 1106, 1319, 1690, 1128]",High
279,User_11,,Medium
280,User_46,"[1319, 1806, 1945]",Low
281,User_85,"[1668, 1018, 1550, 1306]",High
282,User_43,"[1124, 1905, 1256, 1873, 1806]",Medium
283,User_64,,Low
284,User_69,"[1961, 1257, 1334]",High
285,User_56,[1244],High
286,User_45,,Low
287,User_11,"[1617, 1403, 1943]",Medium
288,User_38,"[1251, 1863]",High
289,User_70,"[1522, 1327, 1158, 1135]",Medium
290,User_37,"[1215, 1236, 1492]",High
291,User_100,"[1155, 1823, 1989]",Low
292,User_68,,Low
293,User_6,"[1296, 1791, 1455, 1366]",Low
294,User_62,"[1089, 1717, 1509, 1877]",Medium
295,User_44,"[1622, 1543]",High
296,User_54,[1781],Medium
297,User_23,[1067],Low
298,User_97,"[1641, 1002, 1410, 1397, 1145]",High
299,User_33,"[1290, 1482]",Medium
300,User_83,"[1527, 1751, 1263]",Low
301,User_19,"[1869, 1555, 1235, 1329, 1361]",Medium
302,User_37,,High
303,User_94,[1364],High
304,User_39,[1014],Low
305,User_34,[1970],High
306,User_63,,Medium
307,User_38,[1430],Low
308,User_50,[1856],High
309,User_15,"[1024, 1069, 1494, 1101, 1055]",Medium
310,User_26,"[1273, 1968, 1184, 1583, 1864]",Low
311,User_16,,High
312,User_81,[1475],Low
313,User_34,"[1149, 1204, 1377, 1639, 1644]",Medium
314,User_49,[1360],Low
315,User_32,"[1930, 1506]",High
316,User_20,"[1394, 1669]",High
317,User_58,"[1767, 1594, 1918, 1010, 1498]",Medium
318,User_1,"[1960, 1156, 1427]",Medium
319,User_21,"[1240, 1324]",Low
320,User_93,"[1732, 1361, 1237, 1721, 1740]",High
321,User_63,"[1453, 1178]",High
322,User_46,"[1156, 1450, 1539]",Medium
323,User_12,"[1357, 1676, 1841, 1469, 1324]",Medium
324,User_27,"[1189, 1299, 1961]",Medium
325,User_31,,High
326,User_15,"[1178, 1766, 1936]",High
327,User_19,"[1075, 1330, 1120, 1925, 1672]",Medium
328,User_91,"[1257, 1751, 1845, 1415, 1718]",Low
329,User_25,[1089],Medium
330,User_52,"[1757, 1579, 1742, 1331]",High
331,User_32,"[1893, 1954, 1130, 1960]",Medium
332,User_3,"[1789, 1460, 1921, 1106]",Medium
333,User_10,"[1642, 1995, 1589, 1249, 1151]",Low
334,User_95,"[1560, 1203, 1634, 1323]",High
335,User_37,"[1309, 1131, 1009, 1199, 1783]",Medium
336,User_43,"[1615, 1940, 1541]",High
337,User_95,[1756],High
338,User_54,"[1515, 1993, 1692, 1564, 1691]",High
339,User_36,,High
340,User_6,"[1623, 1211, 1600]",Medium
341,User_86,"[1397, 1783, 1081, 1861, 1858]",Low
342,User_65,"[1874, 1906, 1622]",Low
343,User_7,"[1546, 1118, 1937, 1532]",Low
344,User_87,[1809],Medium
345,User_25,[1101],Low
346,User_23,"[1376, 1578]",High
347,User_68,"[1566, 1667, 1048, 1926]",Low
348,User_27,"[1498, 1607, 1648]",Low
349,User_83,[1910],Low
350,User_64,"[1070, 1612, 1994, 1961, 1649]",High
351,User_99,"[1142, 1486, 1192, 1333, 1604]",High
352,User_58,[1002],High
353,User_59,[1585],High
354,User_44,"[1661, 1786, 1050, 1738, 1622]",Low
355,User_97,[1274],Medium
356,User_62,"[1762, 1948, 1144, 1215, 1441]",Low
357,User_34,"[1500, 1848]",Medium
358,User_61,"[1194, 1151]",Low
359,User_70,,Low
360,User_51,"[1745, 1482, 1113, 1826, 1238]",Medium
361,User_19,,Medium
362,User_55,,Low
363,User_81,"[1273, 1536]",High
364,User_42,[1655],Medium
365,User_100,"[1220, 1204, 1528]",Medium
366,User_10,[1989],Low
367,User_37,[1664],Medium
368,User_58,"[1762, 1084, 1427]",Low
369,User_19,"[1347, 1310, 1614, 1829]",Low
370,User_27,"[1699, 1983, 1784, 1047]",Medium
371,User_91,[1704],Medium
372,User_55,"[1223, 1182, 1522, 1846]",Low
373,User_25,"[1919, 1128, 1718, 1059]",Low
374,User_21,"[1433, 1803]",High
375,User_5,"[1198, 1375, 1556, 1300, 1489]",Medium
376,User_16,"[1154, 1203, 1313, 1828]",Medium
377,User_68,"[1112, 1785]",High
378,User_6,"[1135, 1468, 1332]",Medium
379,User_69,"[1724, 1839]",High
380,User_18,"[1929, 1716, 1525, 1098, 1975]",High
381,User_88,"[1501, 1527, 1707, 1661]",Low
382,User_67,"[1558, 1623, 1301, 1715]",Medium
383,User_30,"[1796, 1244, 1578]",High
384,User_53,"[1625, 1506, 1864, 1801, 1022]",High
385,User_83,"[1717, 1648, 1533, 1072]",Medium
386,User_71,"[1325, 1311, 1152, 1643, 1782]",Low
387,User_18,"[1939, 1202, 1955]",High
388,User_4,"[1135, 1194, 1906, 1434, 1837]",High
389,User_82,"[1722, 1411]",High
390,User_93,"[1339, 1316, 1780, 1354, 1323]",Medium
391,User_12,"[1948, 1566, 1309]",High
392,User_2,"[1770, 1675]",Low
393,User_43,"[1207, 1438, 1834]",High
394,User_82,"[1266, 1109, 1608]",Low
395,User_44,"[1947, 1027, 1348, 1494]",Low
396,User_97,"[1658, 1204, 1592]",High
397,User_46,,Medium
398,User_77,"[1481, 1935, 1096, 1694]",High
399,User_90,"[1787, 1735, 1007, 1296, 1748]",Low
400,User_81,"[1514, 1632]",Medium
401,User_30,[1899],Low
402,User_72,,Low
403,User_58,[1374],Low
404,User_92,"[1025, 1542]",Medium
405,User_44,"[1831, 1432, 1539, 1326]",Low
406,User_43,"[1298, 1909, 1245, 1284]",Medium
407,User_97,[1116],Low
408,User_43,[1461],Low
409,User_33,[1663],Low
410,User_42,"[1084, 1770, 1550, 1811, 1755]",High
411,User_25,"[1824, 1013]",Medium
412,User_72,[1138],Medium
413,User_36,"[1615, 1517, 1174, 1707]",Low
414,User_57,[1063],High
415,User_77,"[1427, 1619]",Low
416,User_17,"[1427, 1231, 1618, 1872, 1472]",Medium
417,User_8,[1369],High
418,User_41,"[1455, 1670]",Low
419,User_88,,High
420,User_45,"[1871, 1959, 1188]",Medium
421,User_32,"[1660, 1726, 1782, 1454, 1060]",High
422,User_92,"[1290, 1926, 1167]",High
423,User_23,"[1373, 1845, 1556]",Medium
424,User_29,"[1626, 1557, 1632]",Low
425,User_19,"[1892, 1684, 1610]",Low
426,User_100,"[1477, 1700, 1521, 1768]",Low
427,User_95,"[1847, 1515]",High
428,User_20,"[1065, 1721]",High
429,User_91,"[1594, 1672, 1381]",High
430,User_12,"[1119, 1043, 1693, 1468, 1871]",High
431,User_43,"[1140, 1579, 1333, 1081, 1426]",Low
432,User_68,"[1931, 1489]",Low
433,User_56,"[1173, 1224]",Medium
434,User_21,,Medium
435,User_43,[1045],Low
436,User_46,"[1955, 1298, 1443]",Medium
437,User_4,"[1480, 1650, 1437, 1041, 1852]",High
438,User_97,,Medium
439,User_9,"[1494, 1262, 1638, 1563, 1264]",Low
440,User_26,"[1881, 1945, 1664, 1787, 1457]",Medium
441,User_15,"[1191, 1850, 1211, 1509]",High
442,User_53,"[1230, 1105, 1703, 1925]",Low
443,User_96,,High
444,User_75,,Medium
445,User_65,"[1462, 1513, 1483, 1904, 1994]",High
446,User_14,,High
447,User_23,,Low
448,User_39,,Low
449,User_15,[1750],High
450,User_72,"[1986, 1100, 1379, 1040]",Medium
451,User_85,[1723],Medium
452,User_24,,High
453,User_50,"[1106, 1811]",High
454,User_14,[1968],Low
455,User_99,,High
456,User_95,,High
457,User_50,"[1036, 1527, 1974, 1579]",High
458,User_38,"[1873, 1220, 1944, 1082, 1470]",Medium
459,User_95,[1387],Medium
460,User_55,[1191],Medium
461,User_3,"[1555, 1738, 1358, 1571]",Low
462,User_71,"[1551, 1364, 1089, 1909]",High
463,User_21,[1932],Low
464,User_84,"[1306, 1928, 1684, 1063, 1941]",Medium
465,User_90,"[1306, 1703, 1079, 1226, 1514]",Medium
466,User_3,"[1300, 1723, 1280, 1884, 1344]",Medium
467,User_56,"[1072, 1486, 1194]",High
468,User_7,,Low
469,User_27,"[1384, 1891]",High
470,User_83,"[1453, 1673, 1577]",High
471,User_30,"[1349, 1330]",Medium
472,User_55,"[1793, 1479, 1242, 1753]",Medium
473,User_44,"[1877, 1720, 1695]",Low
474,User_90,[1689],Medium
475,User_51,"[1269, 1534]",High
476,User_48,"[1806, 1673]",Medium
477,User_8,,Medium
478,User_37,,Low
479,User_20,"[1954, 1495, 1396]",Medium
480,User_44,"[1418, 1217, 1141, 1408, 1006]",Medium
481,User_48,"[1099, 1259, 1802, 1761]",Medium
482,User_68,,Medium
483,User_50,"[1095, 1008, 1769, 1369]",High
484,User_76,[1321],High
485,User_64,[1708],Low
486,User_73,"[1679, 1987, 1705, 1375, 1440]",High
487,User_1,"[1357, 1264, 1891]",Low
488,User_56,"[1777, 1967, 1903, 1937, 1410]",High
489,User_47,"[1958, 1855, 1985]",Medium
490,User_2,"[1391, 1772, 1742]",Medium
491,User_11,"[1697, 1621, 1623, 1235, 1360]",Medium
492,User_18,"[1455, 1390, 1064, 1988, 1514]",Low
493,User_64,[1902],Medium
494,User_70,"[1881, 1968, 1501, 1972]",Medium
495,User_56,"[1975, 1345, 1185, 1567, 1706]",High
496,User_22,"[1027, 1700]",Low
497,User_85,[1353],Medium
498,User_11,"[1962, 1291, 1076, 1788, 1021]",High
499,User_86,"[1629, 1644, 1247, 1809, 1772]",Medium
500,User_87,"[1086, 1922, 1816]",Medium
501,User_46,"[1251, 1475, 1328, 1525]",Low
502,User_99,[1211],Medium
503,User_31,"[1444, 1628, 1368, 1861, 1971]",Medium
504,User_20,"[1469, 1089, 1924, 1043, 1209]",Medium
505,User_99,[1338],Low
506,User_60,,High
507,User_92,"[1640, 1848]",High
508,User_94,"[1537, 1001]",Low
509,User_49,"[1551, 1112]",High
510,User_84,"[1796, 1241, 1323]",High
511,User_35,"[1752, 1880, 1117]",High
512,User_64,[1587],High
513,User_58,[1360],Low
514,User_83,"[1279, 1570]",Medium
515,User_55,,Low
516,User_79,,High
517,User_26,"[1927, 1459]",Low
518,User_71,"[1146, 1468, 1617, 1171]",Low
519,User_40,"[1756, 1954, 1128, 1557]",Low
520,User_8,"[1723, 1165]",Low
521,User_32,"[1335, 1419, 1612, 1056, 1216]",High
522,User_69,"[1963, 1321, 1543, 1214]",Low
523,User_39,"[1893, 1296, 1842, 1518, 1395]",Low
524,User_11,[1802],High
525,User_84,"[1523, 1248, 1183]",Medium
526,User_7,,Medium
527,User_6,[1906],High
528,User_65,"[1578, 1976]",Medium
529,User_72,[1321],Medium
530,User_7,"[1718, 1407, 1699]",Medium
531,User_7,[1911],Low
532,User_88,"[1472, 1495, 1404, 1474, 1992]",Medium
533,User_76,[1589],High
534,User_29,,Low
535,User_1,[1695],Medium
536,User_74,"[1098, 1295]",Medium
537,User_14,"[1930, 1961, 1950, 1287]",High
538,User_91,[1372],Medium
539,User_56,"[1713, 1433, 1747, 1628, 1605]",Medium
540,User_44,,Medium
541,User_12,"[1641, 1210, 1295, 1687]",High
542,User_57,"[1280, 1975, 1326, 1221]",Low
543,User_90,"[1690, 1233]",Medium
544,User_62,[1179],Medium
545,User_56,"[1018, 1691, 1590]",High
546,User_7,"[1817, 1774, 1050]",Medium
547,User_61,,Medium
548,User_83,"[1371, 1445, 1682, 1719]",Medium
549,User_16,[1923],Medium
550,User_64,"[1558, 1572, 1321, 1526]",High
551,User_39,[1145],High
552,User_51,"[1324, 1942, 1599, 1074]",Low
553,User_15,"[1202, 1972, 1123, 1137, 1763]",Medium
554,User_21,"[1872, 1212]",High
555,User_21,"[1677, 1126, 1876, 1960]",Low
556,User_17,"[1248, 1161, 1763]",Low
557,User_86,"[1416, 1438]",Medium
558,User_62,"[1379, 1200, 1158]",Low
559,User_99,"[1516, 1678, 1713]",Medium
560,User_54,"[1416, 1490, 1493, 1104, 1219]",High
561,User_78,"[1665, 1691, 1849, 1605]",Medium
562,User_23,"[1873, 1033, 1428, 1548, 1320]",Low
563,User_75,"[1163, 1871, 1397, 1332, 1344]",Low
564,User_15,"[1801, 1406, 1256]",High
565,User_46,[1818],Medium
566,User_69,[1929],High
567,User_96,"[1757, 1675]",High
568,User_42,[1863],Low
569,User_70,"[1969, 1083, 1090, 1621]",Medium
570,User_7,,Low
571,User_65,"[1673, 1079, 1809, 1348, 1110]",Low
572,User_63,"[1084, 1053, 1861, 1548, 1915]",High
573,User_22,"[1135, 1733, 1390, 1739]",Low
574,User_87,"[1090, 1701, 1963, 1009, 1975]",Low
575,User_68,[1599],Low
576,User_18,[1498],High
577,User_15,"[1644, 1599, 1595]",High
578,User_28,"[1297, 1154]",Low
579,User_13,,High
580,User_32,,Medium
581,User_77,"[1051, 1792]",High
582,User_22,"[1101, 1947, 1373, 1218]",Medium
583,User_23,"[1413, 1414, 1770, 1867, 1201]",Low
584,User_15,,High
585,User_99,"[1597, 1095]",Medium
586,User_43,"[1151, 1764]",Low
587,User_77,,Medium
588,User_9,"[1598, 1335, 1945, 1463, 1075]",Medium
589,User_92,"[1675, 1821, 1555, 1477]",Medium
590,User_11,[1608],High
591,User_44,[1916],High
592,User_53,"[1818, 1529, 1360, 1644]",Medium
593,User_17,"[1994, 1336, 1404, 1538]",Medium
594,User_57,[1561],High
595,User_67,"[1714, 1989]",Low
596,User_73,"[1917, 1956, 1668]",High
597,User_87,"[1275, 1082, 1272, 1551, 1292]",Low
598,User_23,"[1807, 1653]",Low
599,User_65,"[1662, 1476]",Medium
600,User_40,,Medium
601,User_83,[1363],High
602,User_99,,Low
603,User_62,"[1325, 1332, 1119]",Medium
604,User_70,"[1148, 1265, 1053]",Medium
605,User_67,[1880],Low
606,User_60,[1085],High
607,User_99,[1123],Medium
608,User_42,[1968],Medium
609,User_31,[1577],High
610,User_1,"[1446, 1483]",High
611,User_32,"[1637, 1139, 1190, 1610]",Medium
612,User_90,[1783],Medium
613,User_6,"[1242, 1664, 1874]",Medium
614,User_20,"[1177, 1175]",High
615,User_95,"[1590, 1580, 1130, 1762]",Medium
616,User_62,,Medium
617,User_23,[1138],High
618,User_46,,Low
619,User_33,"[1761, 1902]",Low
620,User_28,"[1038, 1024, 1236, 1606]",Low
621,User_62,"[1963, 1437]",Low
622,User_78,"[1763, 1965]",Low
623,User_82,"[1335, 1669, 1803, 1685, 1306]",Medium
624,User_72,"[1404, 1908, 1685, 1859]",Medium
625,User_39,[1062],High
626,User_42,,Low
627,User_4,"[1787, 1644, 1976, 1622, 1909]",Medium
628,User_5,"[1124, 1526]",High
629,User_91,"[1909, 1094, 1729]",Low
630,User_61,"[1403, 1886, 1817, 1603]",Low
631,User_86,"[1222, 1141, 1728, 1976]",Medium
632,User_7,"[1670, 1053, 1770, 1767]",Medium
633,User_93,[1680],Low
634,User_74,[1902],Low
635,User_87,[1469],Medium
636,User_63,"[1551, 1146]",High
637,User_56,[1329],Low
638,User_15,"[1729, 1860, 1887, 1330, 1338]",High
639,User_91,"[1641, 1181, 1818, 1075, 1045]",High
640,User_39,"[1613, 1534, 1669, 1465]",High
641,User_51,,High
642,User_55,"[1456, 1704, 1567]",Low
643,User_23,"[1466, 1421, 1528, 1759]",Low
644,User_60,"[1156, 1453, 1193, 1136, 1494]",Medium
645,User_92,"[1800, 1983, 1747]",High
646,User_7,"[1371, 1640, 1966, 1417, 1263]",High
647,User_69,"[1597, 1027]",Low
648,User_74,"[1919, 1450, 1080]",Medium
649,User_27,,Low
650,User_44,[1705],Low
651,User_75,"[1966, 1051, 1958, 1144, 1219]",High
652,User_26,,High
653,User_42,"[1778, 1101, 1512, 1543, 1617]",Low
654,User_27,[1998],High
655,User_38,"[1417, 1546, 1867, 1865]",Low
656,User_84,"[1510, 1670, 1169, 1792]",Medium
657,User_90,"[1119, 1660, 1868, 1772]",Medium
658,User_29,,High
659,User_23,[1413],High
660,User_17,"[1882, 1466]",Medium
661,User_55,"[1482, 1767, 1792, 1173]",Medium
662,User_26,"[1859, 1732, 1887]",Medium
663,User_79,[1052],High
664,User_91,"[1681, 1696]",High
665,User_67,"[1672, 1852, 1909]",Low
666,User_48,[1855],High
667,User_39,"[1671, 1519, 1558]",High
668,User_66,,Medium
669,User_45,"[1157, 1228]",High
670,User_85,[1637],Low
671,User_98,"[1272, 1384, 1582, 1437, 1916]",Low
672,User_43,"[1262, 1530, 1626, 1311]",High
673,User_1,"[1413, 1060, 1783, 1283, 1917]",Medium
674,User_62,"[1494, 1424, 1238]",High
675,User_90,[1817],High
676,User_81,"[1264, 1052, 1923]",High
677,User_87,,Low
678,User_29,"[1877, 1118, 1301, 1572, 1430]",High
679,User_99,[1529],High
680,User_8,,High
